"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"24 Juni 2026, 21:42:47"	"ROCKWELL AUTOMATION"	"ROK"	""	"458,99$"	"-8"	"8 => 0"	"Verkauf"	"Stop"	"459,00$"	""	"Ausgeführt"	"+9,52$"	"+0,26%"	""	""	"453,00"	"7,50%"	"486,99"	"Kein Limit"	""	"90,1M"	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	"383,71$"	"360,89$"	"-10"	""	"Verkauf"	"Stop"	"360,89$"	""	"Pending"	"-"	"-"	""	"-5,95%"	"383,50"	"0,13%"	"383,98"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	""	"377,10$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"377,10$"	"Ausgeführt"	"-"	"-"	""	""	"383,50"	"0,13%"	"383,98"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 20:40:09"	"ROCKWELL AUTOMATION"	"ROK"	""	"434,91$"	"-8"	""	"Verkauf"	"Stop"	"434,91$"	""	"Gelöscht"	"-"	"-"	""	""	"453,00"	"7,50%"	"486,99"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:43:22"	"ARM"	"ARM"	""	"352,61$"	"USD"	"10 => 0"	"Verkauf"	"Stop"	"352,80$"	""	"Ausgeführt"	"-363,90$"	"-9,35%"	""	""	"357,01"	"0,84%"	"360,00"	"Kein Limit"	""	"107M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 15:30:33"	"NIKE"	"NKE"	""	"42,18$"	"-100"	"100 => 0"	"Verkauf"	"Stop"	"42,05$"	""	"Ausgeführt"	"-23,00$"	"-0,54%"	""	""	"41,76"	"0,50%"	"41,97"	"Kein Limit"	""	"102M"	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:30:02"	"PALANTIR TECHNOLOGIES"	"PLTR"	""	"114,33$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"114,19$"	""	"Ausgeführt"	"-117,50$"	"-4,89%"	""	""	"113,70"	"0,16%"	"113,88"	"Kein Limit"	""	"162M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 20:40:20"	"ROCKWELL AUTOMATION"	"ROK"	""	"457,80$"	"8"	"0 => 8"	"Kauf"	"Limit"	""	"457,80$"	"Ausgeführt"	"-"	"-"	""	""	"453,00"	"7,50%"	"486,99"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 18:59:30"	"NIKE"	"NKE"	""	"40,29$"	"-100"	""	"Verkauf"	"Stop"	"40,29$"	""	"Gelöscht"	"-"	"-"	""	""	"41,76"	"0,50%"	"41,97"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 17:39:14"	"TESLA"	"TSLA"	""	"382,48$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"382,45$"	""	"Ausgeführt"	"+8,30$"	"+0,22%"	""	""	"376,60"	"0,06%"	"376,82"	"Kein Limit"	""	"1,11B"	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:32"	"BROADCOM"	"AVGO"	""	"378,20$"	"10"	""	"Kauf"	"Limit"	""	"378,20$"	"Gelöscht"	"-"	"-"	""	""	"383,50"	"0,13%"	"383,98"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:16"	"BROADCOM"	"AVGO"	""	"379,88$"	"10"	""	"Kauf"	"Limit"	""	"379,88$"	"Gelöscht"	"-"	"-"	""	""	"383,50"	"0,13%"	"383,98"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:03"	"NVIDIA"	"NVDA"	"200,09$"	"191,47$"	"-20"	""	"Verkauf"	"Stop"	"191,47$"	""	"Pending"	"-"	"-"	""	"-4,31%"	"200,08"	"0,01%"	"200,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:02"	"NVIDIA"	"NVDA"	""	"201,55$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"201,55$"	"Ausgeführt"	"-"	"-"	""	""	"200,08"	"0,01%"	"200,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:04"	"BROADCOM"	"AVGO"	""	"379,18$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"385,00$"	""	"Ausgeführt"	"+59,25$"	"+1,59%"	""	""	"383,50"	"0,13%"	"383,98"	"Kein Limit"	""	"1,1B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:01"	"NVIDIA"	"NVDA"	""	"202,18$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"202,50$"	""	"Ausgeführt"	"+61,54$"	"+1,55%"	""	""	"200,08"	"0,01%"	"200,10"	"Kein Limit"	""	"1,09B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	""	"42,41$"	"100"	"0 => 100"	"Kauf"	"Limit"	""	"42,41$"	"Ausgeführt"	"-"	"-"	""	""	"41,76"	"0,50%"	"41,97"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
