"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"26 Juni 2026, 15:33:38"	"NVIDIA"	"NVDA"	""	"191,47$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"191,47$"	""	"Ausgeführt"	"-201,60$"	"-5,00%"	""	""	"194,93"	"0,03%"	"194,99"	"Kein Limit"	""	"254M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"26 Juni 2026, 15:30:01"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.782,97$"	"-5"	"5 => 0"	"Verkauf"	"Stop"	"1.804,00$"	""	"Ausgeführt"	"-70,13$"	"-0,78%"	""	""	"1.784,87"	"0,17%"	"1.787,87"	"Kein Limit"	""	"279M"	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"26 Juni 2026, 06:35:11"	"SERVICENOW"	"NOW"	""	"88,80$"	"50"	""	"Kauf"	"Limit"	""	"88,80$"	"Gelöscht"	"-"	"-"	""	""	"98,50"	"0,30%"	"98,80"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"26 Juni 2026, 06:35:11"	"SERVICENOW"	"NOW"	""	"84,36$"	"-50"	""	"Verkauf"	"Stop"	"84,36$"	""	"Gelöscht"	"-"	"-"	""	""	"98,50"	"0,30%"	"98,80"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"25 Juni 2026, 21:18:55"	"BROADCOM"	"AVGO"	""	"377,56$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"377,60$"	""	"Ausgeführt"	"+4,60$"	"+0,12%"	""	""	"370,41"	"0,08%"	"370,71"	"Kein Limit"	""	"87,1M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"25 Juni 2026, 21:12:00"	"BROADCOM"	"AVGO"	""	"360,89$"	"-10"	""	"Verkauf"	"Stop"	"360,89$"	""	"Gelöscht"	"-"	"-"	""	""	"370,41"	"0,08%"	"370,71"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"25 Juni 2026, 21:11:39"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Gelöscht"	"-"	"-"	""	""	"1.784,87"	"0,17%"	"1.787,87"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"25 Juni 2026, 15:30:35"	"AMAZON"	"AMZN"	""	"230,06$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"230,09$"	""	"Ausgeführt"	"-121,39$"	"-5,01%"	""	""	"230,14"	"0,07%"	"230,30"	"Kein Limit"	""	"690M"	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	
""	"25 Juni 2026, 15:30:01"	"ALPHABET CLASS A"	"GOOGL"	""	"336,69$"	"-15"	"15 => 0"	"Verkauf"	"Stop"	"339,74$"	""	"Ausgeführt"	"-155,69$"	"-2,99%"	""	""	"339,43"	"0,20%"	"340,12"	"Kein Limit"	""	"245M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 21:42:47"	"ROCKWELL AUTOMATION"	"ROK"	""	"458,99$"	"-8"	"8 => 0"	"Verkauf"	"Stop"	"459,00$"	""	"Ausgeführt"	"+9,52$"	"+0,26%"	""	""	"468,82"	"4,09%"	"488,00"	"Kein Limit"	""	"90,1M"	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	""	"377,10$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"377,10$"	"Ausgeführt"	"-"	"-"	""	""	"370,41"	"0,08%"	"370,71"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 15:43:22"	"BLOCK CLASS A"	"ARM"	""	"352,61$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"352,80$"	""	"Ausgeführt"	"-363,90$"	"-9,35%"	""	""	"332,27"	"0,35%"	"333,42"	"Kein Limit"	""	"107M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 15:30:33"	"NIKE"	"NKE"	""	"42,18$"	"-100"	"100 => 0"	"Verkauf"	"Stop"	"42,05$"	""	"Ausgeführt"	"-23,00$"	"-0,54%"	""	""	"40,90"	"0,05%"	"40,92"	"Kein Limit"	""	"102M"	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:30:02"	"PALANTIR TECHNOLOGIES"	"PLTR"	""	"114,33$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"114,19$"	""	"Ausgeführt"	"-117,50$"	"-4,89%"	""	""	"112,53"	"0,04%"	"112,58"	"Kein Limit"	""	"162M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 20:40:20"	"ROCKWELL AUTOMATION"	"ROK"	""	"457,80$"	"8"	"0 => 8"	"Kauf"	"Limit"	""	"457,80$"	"Ausgeführt"	"-"	"-"	""	""	"468,82"	"4,09%"	"488,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 17:39:14"	"TESLA"	"TSLA"	""	"382,48$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"382,45$"	""	"Ausgeführt"	"+8,30$"	"+0,22%"	""	""	"382,68"	"0,04%"	"382,85"	"Kein Limit"	""	"1,11B"	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:02"	"NVIDIA"	"NVDA"	""	"201,55$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"201,55$"	"Ausgeführt"	"-"	"-"	""	""	"194,93"	"0,03%"	"194,99"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
