"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"23 Juni 2026, 20:40:20"	"ROCKWELL AUTOMATION"	"ROK"	"458,69$"	"434,91$"	"-8"	""	"Verkauf"	"Stop"	"434,91$"	""	"Pending"	"-"	"-"	""	"-5,18%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 20:40:20"	"ROCKWELL AUTOMATION"	"ROK"	""	"457,80$"	"8"	"0 => 8"	"Kauf"	"Limit"	""	"457,80$"	"Ausgeführt"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 18:59:30"	"NIKE"	"NKE"	"42,79$"	"42,05$"	"-100"	""	"Verkauf"	"Stop"	"42,05$"	""	"Pending"	"-"	"-"	""	"-1,73%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 18:59:30"	"NIKE"	"NKE"	""	"40,29$"	"-100"	""	"Verkauf"	"Stop"	"40,29$"	""	"Gelöscht"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 17:39:14"	"TESLA"	"TSLA"	""	"382,48$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"382,45$"	""	"Ausgeführt"	"+8,30$"	"+0,22%"	""	""	""	""	""	"Kein Limit"	""	"1,11B"	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:32"	"BROADCOM"	"AVGO"	"381,50$"	"377,10$"	"10"	""	"Kauf"	"Limit"	""	"377,10$"	"Pending"	"-"	"-"	""	"-1,15%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:32"	"BROADCOM"	"AVGO"	""	"378,20$"	"10"	""	"Kauf"	"Limit"	""	"378,20$"	"Gelöscht"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:16"	"BROADCOM"	"AVGO"	""	"379,88$"	"10"	""	"Kauf"	"Limit"	""	"379,88$"	"Gelöscht"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:03"	"NVIDIA"	"NVDA"	"200,90$"	"191,47$"	"-20"	""	"Verkauf"	"Stop"	"191,47$"	""	"Pending"	"-"	"-"	""	"-4,69%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:02"	"NVIDIA"	"NVDA"	""	"201,55$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"201,55$"	"Ausgeführt"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
