"Börsen"	"Name"	"Ticker"	"Gewinn"	"Heutiger Gewinn"	"Vorher"	"Var."	"% Var."	"Letzter"	"Menge"	"Ausführungskurs"	"Kaufwert"	"Exposure"	"Eröffnung %"	"Gewinn pro Einheit"	"%G Portfolio"	"Volumen"	"Mkt Cap. (€)"	"P/L"	"% Stop"	"% Target"	"% Exposure"	"Allocation"	"Pending Verkauf"	"Pending Kauf"	"Heutige Käufe"	"Heutige Verkäufe"	"%Gap Eröffn."	"Tag %"	"Woche %"	"Monat %"	"3 Monate %"	"Jahr %"	"6 Monate %"	"1. Januar %"	"3 Jahre %"	"5 Jahre %"	"PER"	"EPS"	"Beta"	"Div"	"% Div"	"Haltedauer Pos."	"IV"	"Bid"	"Mid-Price"	"Ask"	"Spread"	"null"	"Kommentar"	"Typ"	"Sektor"	"Währung"	"Stop"	"Target"	"Delta"
"NASDAQ ETH (6)"	""	""	"-376,65€"	"+0,00€"	""	""	""	""	""	"-"	"26.938,05$"	"23.329,53€"	"-"	"-"	"-1,88%"	"-"	"-"	""	""	""	"116,43%"	"76,93%"	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	"-"	"-"	"-"	""	"0S"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
""	"ALPHABET CLASS A"	"GOOGL"	"+14,10$"	"+0,00$"	"346,30"	"+1,71"	"+0,49%"	"348,01(c)"	"15"	"347,07$"	"5.206,05$"	"5.220,15$"	"+2,15%"	"+0,27%"	"+0,06%"	"34M"	"3.485B"	""	"-2,38%"	""	"22,93%"	"15,15%"	"-1"	"0"	"0"	"0"	"-1,62%"	"+0,49%"	"-4,82%"	"-8,90%"	"+18,72%"	"+109,27%"	"+10,94%"	"+11,33%"	"+186,97%"	"+186,36%"	"26,545385"	"13,11$"	"1,24"	"0,85$"	"0,24%"	"1T 13S"	"36,05 %"	""	""	""	""	""	""	"AKT"	"Technologie"	"USD"	""	""	""
""	"AMAZON"	"AMZN"	"-86,00$"	"+0,00$"	"233,03"	"+0,57"	"+0,24%"	"233,60(c)"	"10"	"242,20$"	"2.422,00$"	"2.336,00$"	"+0,90%"	"-3,55%"	"-0,38%"	"60,5M"	"2.092B"	""	"-1,50%"	""	"10,26%"	"6,78%"	"-1"	"0"	"0"	"0"	"-0,65%"	"+0,24%"	"-2,42%"	"-11,98%"	"+11,81%"	"+9,79%"	"+0,53%"	"+1,20%"	"+80,62%"	"+35,48%"	"27,942584"	"8,36$"	"1,44"	"0,00$"	"0,00%"	"6T 17S"	"35,00 %"	""	""	""	""	""	""	"AKT"	"Gebrauchsgüter"	"USD"	""	""	""
""	"ARM"	"ARM"	"-221,60$"	"+0,00$"	"404,50"	"-37,66"	"-9,31%"	"366,84(c)"	"10"	"389,00$"	"3.890,00$"	"3.668,40$"	"-4,72%"	"-5,70%"	"-0,97%"	"11,1M"	"409B"	""	"-3,83%"	""	"16,11%"	"10,65%"	"-1"	"0"	"0"	"0"	"-4,82%"	"-9,31%"	"-15,14%"	"+20,64%"	"+151,47%"	"+134,54%"	"+228,86%"	"+235,60%"	"+439,79%"	"+439,79%"	"300,688525"	"1,22$"	"3,79"	"0,00$"	"0,00%"	"22S50M"	"106,89 %"	""	""	""	""	""	""	"AKT"	"Technologie"	"USD"	""	""	""
""	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"-40,30$"	"+0,00$"	"1.922,50"	"-133,56"	"-6,95%"	"1.788,94(c)"	"5"	"1.797,00$"	"8.985,00$"	"8.944,70$"	"-0,55%"	"-0,45%"	"-0,18%"	"2,42M"	"654B"	""	"-4,57%"	""	"39,28%"	"25,96%"	"-1"	"0"	"0"	"0"	"-6,44%"	"-6,95%"	"-6,29%"	"+9,82%"	"+26,39%"	"+121,67%"	"+68,48%"	"+67,80%"	"+163,02%"	"+168,77%"	"69,12442"	"25,88$"	"1,40"	"8,78$"	"0,49%"	"22S50M"	"62,52 %"	""	""	""	""	""	""	"AKT"	"Industrieunternehmen"	"USD"	""	""	""
""	"NVIDIA"	"NVDA"	"-13,00$"	"+0,00$"	"207,82"	"-6,92"	"-3,33%"	"200,90(c)"	"20"	"201,55$"	"4.031,00$"	"4.018,00$"	"-0,70%"	"-0,32%"	"-0,06%"	"153M"	"4.307B"	""	"-4,69%"	""	"17,65%"	"11,66%"	"-1"	"0"	"0"	"0"	"-2,65%"	"-3,33%"	"-2,63%"	"-6,14%"	"+13,68%"	"+36,02%"	"+6,65%"	"+7,85%"	"+376,86%"	"+949,09%"	"34,400685"	"5,84$"	"2,20"	"0,28$"	"0,14%"	"15S45M"	"38,38 %"	""	""	""	""	""	""	"AKT"	"Technologie"	"USD"	""	""	""
""	"PALANTIR TECHNOLOGIES"	"PLTR"	"-81,20$"	"+0,00$"	"119,45"	"-3,31"	"-2,77%"	"116,14(c)"	"20"	"120,20$"	"2.404,00$"	"2.322,80$"	"-1,58%"	"-3,38%"	"-0,36%"	"44,7M"	"248B"	""	"-1,68%"	""	"10,20%"	"6,74%"	"-1"	"0"	"0"	"0"	"-1,21%"	"-2,77%"	"-12,05%"	"-14,57%"	"-25,88%"	"-18,91%"	"-40,19%"	"-34,66%"	"+735,54%"	"+338,26%"	"122,252632"	"0,95$"	"1,51"	"0,00$"	"0,00%"	"1T 14S"	"51,96 %"	""	""	""	""	""	""	"AKT"	"Technologie"	"USD"	""	""	""
"NYSE ETH (2)"	""	""	"+39,71€"	"+0,00€"	""	""	""	""	""	"-"	"7.903,40$"	"6.994,90€"	"-"	"-"	"+0,20%"	"-"	"-"	""	""	""	"34,91%"	"23,07%"	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	"-"	"-"	"-"	""	"0S"	""	""	""	""	""	""	""	""	""	""	""	""	"0"
""	"NIKE"	"NKE"	"+38,00$"	"+0,00$"	"43,27"	"-0,48"	"-1,11%"	"42,79(c)"	"100"	"42,41$"	"4.241,00$"	"4.279,00$"	"-0,95%"	"+0,90%"	"+0,17%"	"18,8M"	"46,5B"	""	"-1,73%"	""	"18,79%"	"12,42%"	"-1"	"0"	"0"	"0"	"-0,16%"	"-1,11%"	"-3,47%"	"-3,04%"	"-19,81%"	"-28,41%"	"-27,60%"	"-31,96%"	"-58,36%"	"-69,50%"	"28,337748"	"1,51$"	"1,12"	"1,63$"	"3,81%"	"21S34M"	"53,93 %"	""	""	""	""	""	""	"AKT"	"Gebrauchsgüter"	"USD"	""	""	""
""	"ROCKWELL AUTOMATION"	"ROK"	"+7,12$"	"+0,00$"	"478,65"	"-19,96"	"-4,17%"	"458,69(c)"	"8"	"457,80$"	"3.662,40$"	"3.669,52$"	"-3,49%"	"+0,19%"	"+0,03%"	"373.940"	"46,4B"	""	"-5,18%"	""	"16,12%"	"10,65%"	"-1"	"0"	"0"	"0"	"-0,71%"	"-4,17%"	"-1,12%"	"+0,81%"	"+26,68%"	"+43,07%"	"+15,96%"	"+18,09%"	"+54,30%"	"+74,72%"	"37,752263"	"12,15$"	"1,56"	"5,45$"	"1,19%"	"12S10M"	"37,16 %"	""	""	""	""	""	""	"AKT"	"Industrieunternehmen"	"USD"	""	""	""
